pos_genes,neg_genes
MTRF1,MAPK8IP1
TUBD1,LINC00909
MAP2K2,SLN
RWDD1,PDE4DIP
ZNF250,UG0898H09
ZADH2,POLE4
MGAT5,NIT2
ARHGAP39,NABP1
LRRC37A3,C12orf45
PREPL,ELOB
CHI3L1,SPARC
RHOQ,TMEM94
ZNF318,PCBD1
STK38L,HIST1H2AD
ZNF25,TG
ZBTB4,SHC1
C19orf25,LOC105376064
CHST12,UQCR11
STARD10,ALG1L
IGFALS,TM2D3
GCSHP3,ABHD1
STX19,LOC100129291
CLK3,MDGA1
NAPEPLD,TMEM107
LRRC49,DPM2
PCDHB9,ZMYM3
POU3F2,RAET1E-AS1
MED21,HLA-H
EIF1AX,DENND6B
ZNF519,MRPS33
DAZAP1,ZNF572
EIF4G3,RPN2
KCNIP3,SLC3A2
TMEM155,P3H2
PCGF3,TIMP3
ARNTL,HMGCR
UBXN10,SFMBT2
ATP5F1B,MFSD10
TARDBP,FAM241A
FBXO9,ICAM5
GALE,B3GAT1
ANKRD34C,RPL19
SDHD,NCAM1
ATP13A3,SSR4
TMEM184C,SOWAHC
SESN1,PGLS
PPP1R3B,TMEM208
ITM2A,MBOAT7
MDH1,PDLIM3
CLIP2,C2CD2L
CHD6,NXN
LOC100133091,PDIA3
SMARCD2,SAP30BP
TADA2B,ZNF575
CAPS2,SEMA4F
KDM2B,TSPAN6
MITF,RAB27B
FH,ST5
ATP2A2,PYCR3
PARD6A,STK32C
PPP3CA,SLBP
NFATC3,TNFAIP2
DNAJC25,PDGFB
IFFO1,NSMCE1
LCE3C,TIMM13
CCL27,CIB1
SPARCL1,C11orf1
MRPS36,STX12
ESAM,ACVR2B
CDCA5,ZNRF3
MYO15A,SPRYD4
PEX5L,C1orf226
THOC5,C1R
ZRANB1,CFAP70
DIS3L2,GSS
ITSN2,HBG1
PARD6B,USP12
FKBP5,PIFO
TOMM40,HSBP1
MAP1LC3B2,ASH1L-AS1
ZFYVE28,HTR7
NDUFB5,NDUFAF8
ARID2,ZFAND3
SLC25A15,EXOC6
LRRK1,P4HA2
DEPP1,TMEM42
SRGAP2,CACNA2D1
APPL1,ASMTL
KCNJ8,PYCARD
CIT,STYK1
NEU4,BPHL
IL17RE,PID1
PPARGC1B,MORN4
EIF2A,C11orf71
ABHD17A,LINC00886
KNDC1,PRICKLE2
SLC17A6,TCF7L1
EIF2B2,RMI2
SLC25A25,CETN2
ERCC4,MT1X
NFAT5,GABBR1
GNA14,CCDC167
ST3GAL6,S100Z
VSNL1,CEBPA
ANKS1A,EFNB1
YARS,MT2A
BAK1,CCIN
CAPN1,PLAC9P1
MIAT,PCDH18
GSTK1,PRSS23
LOC407835,NPB
PRPS2,UQCC3
GOT1,KRBOX4
TBRG1,GGCT
SYNE4,TAF9B
ST6GALNAC1,JPT1
INPP5J,WSCD1
GPATCH8,RYBP
NIPAL3,DOK6
ABCA9,KCNA4
STARD4,LRRTM2
KNG1,C1QL1
TTC21B,APCDD1
CORO7,NXPH1
RPH3A,AP2B1
KCNJ11,NUDT17
FAM43A,DDX54
ZNF385A,ZNF83
FAM49B,PDE3A
OTUD7A,FOLR1
CELSR2,CSTB
CRYBA2,ADGRV1
TRIM41,ARFGEF3
GJC1,TMEM130
CTSZ,SRP14
SLC6A12,RHOC
ACR,WDR54
PLA2R1,ELP4
ZNF385B,PUSL1
KIF5A,PRPH2
PNLDC1,ITGB7
FUT11,CYB5R1
SCAI,SPICE1
KRT222,CBLN1
GUCY1A2,RPLP1
PSMG3,NSUN6
ADPRHL1,ARHGAP18
ZNF630,44986
GOPC,SEMA3C
HELB,LCN12
KRTAP5-2,RFC5
ITIH5,TBCB
PPP1CB,NKAIN3
LEPROTL1,FAM151B
HMBS,MPV17L2
TMX2,KCNA5
NRN1,NLE1
CACNB4,KIAA0319
RCAN2,MANF
IFNLR1,CNN3
SNHG1,VSIG4
OPN3,PON2
FADS6,IPO5P1
